gram	#words	#occurrences	example1	example2	example3
├jo	39	416	jonek	jonghsten	jonck
├ar	79	406	arriveren	arrière	arbeyden
├Ed┤	1	398	Ed
├Po	51	392	Portugiesen	Portugees	Portugiese
├ti	42	390	tingangh	tinganghs	tinghangh
├4┤	1	378	4
├pl	50	376	plaels	pleegen	pleyn
├ic	1	375	ick
├pi	45	368	pistoolschoot	pitjens	picols
├sl	105	368	slaet	sloulelyck	sluckjens
├Ga	98	366	Gasteel	Gap	Galissa
├a┤	1	362	a
├3┤	1	348	3
├om	46	336	omtrent	omme	omdat
├ta	71	333	tale	tanden	talamba
├d┤	1	330	d
├10┤	1	328	10
├bi	34	318	binnen	bittere	bidden
├vi	91	313	victualie	viel	vivres
├ad	55	311	adviseert	administralie	advance
├Ne	57	298	Nederlantsen	Nederlanfsche	Nederlantse
├lo	66	294	lol	loop	logie
├tw	29	293	tweede	twee	twistigh
├je	21	291	jegenwoordigh	jegenwoordigen	jentangh
├En	19	290	Engelschen	Engelandt	Ende
├li	75	289	liberale	liberael	licht
├Da	47	284	Dat	Darou	Damman
├6┤	1	283	6
├U┤	1	283	U
├sy┤	1	280	sy
├ra	102	279	raet	raere	rasta
├5┤	1	279	5
├Wa	72	274	Wangsa	Wachler	Wachter
├or	41	273	ordre	ordinarie	ordonneren
├fl	37	272	fluytschip	flscael	fluyt
├tr	104	272	treek	travaden	troupen
├8┤	1	271	8
├vy	34	270	vyanden	vyfligh	vyant
├sp	87	269	speculatien	spreecken	specy
├So	65	264	Soo	Sondagbs	Sooveel
├my	18	263	myn	myne	myneu
├zy	12	262	zyn	zynde	zyne
├hi	22	262	hier	hielt	hielden
├bu	45	261	buyten	buytenste	buyck
├10	53	254	10:8	100	106
├Mo	77	253	Mogo	Morhon	Monterende
├Ha	104	252	Haes	Haffdack	Hamsia
├do┤	1	251	do
├cr	73	248	croone	crepel-bossige	crancke
├ac	79	245	achtinge	accommodabelsle	achterlatende
├Se	72	243	September	Sedert	Sery
├du	44	238	duysent	duystere	duyren
├Ta	76	238	Tamara	Tarnatacnsen	Tarnaten
├Ho	60	235	Hoogh	Hollanders	Hollandia
├ch	51	235	champher	chryghsmacht	chaloupen
├dr	57	232	drie	dracht	dragen
├20┤	1	232	20
├Si	82	231	Sibederadia	Siry	Silan
├S┤	1	230	S
├gi	47	230	gissinge	gissingh	giljou
├ou	40	228	oudt	ouden	oude
├al┤	1	228	al
├Su	42	227	Sumatra	Sumalras	Sultan
├sw	42	227	swaeren	swarte	swarten
├my┤	1	221	my
├He	53	220	Herberts	Heer	Heeren
├An	62	208	Anthonisz	Anthony	Andragiery
├De┤	1	205	De
├Ra	52	204	Ragiepour	Raden	Radeh
├1┤	1	203	1
├Jo	38	202	Johor	Johoriten	Johorit
├Te	35	202	Ten	Tenimber	Terlolen
├La	81	193	Laxamana	Lamodt	Lagie
├Na	74	192	Nae	Nara	Nae't
├ke	38	188	kerck	kennen	keert
├gu	34	186	gunt	gunstigh	guarde
├Pe	37	186	Petten	Pedro	Peera
├Be	57	185	Bequamen	Ben	Bessi
├Li	46	185	Lilloula	Lieffde	Limoury
├12┤	1	184	12
├H┤	1	182	H
├et	10	178	etmael	etc	ettelycke
├Gr	39	177	Grissee	Grraans	Grol
├7┤	1	176	7
├'s┤	1	176	's
├ex	65	176	excuseert	expireeren	excedeert
├To	78	176	Tonsitja	Touhender	Tonganse
├t'┤	1	174	t'
├Lo	44	173	Lourens	Lonthor	Lolobj
├Am	46	173	Ambassadeur	Amboina	Amiril
├Sa	75	170	Sayer	Sanivoort	Santvoort
├In	36	168	Indrapoura	India	Indische
├p┤	1	168	p
├po	51	163	posten	ponden	posture
├hy┤	1	162	hy
├by	45	161	byloopers	byleggende	byeencompste
├Ke	24	160	Kerokringh	Ketjil	Kerckringh
├At	26	156	Atchin	Atchinse	Aton
├am	46	150	ambassaten	ampt	amunitie
├ri	24	148	ringen	riviere	rivit^re
├fo	40	148	fondamenteelder	fort	folie
├ly	39	147	lydelyck	lyffeygene	lyt
├»┤	1	142	»
├Qu	34	140	Queda	Quey	Quimelaha
├Ju	20	140	Juny	July	Junio
├vl	45	138	vlyt	vlote	vleugelen
├20	28	138	20sturx	200	209
├ru	29	136	rugge	ruym	ruymte
├ec	5	134	echter	echler	ecbter
├15┤	1	134	15
├bh	9	133	bhaer	bharen	bhaeren
├We	31	130	Westcust	Welcke	Weslcusl
├(d	17	130	(die	(door	(dat
├30┤	1	130	30
├50┤	1	129	50
├wy	28	128	wyderingh	wyders	wynen
├yd	5	127	yder	ydele	yders
├f┤	1	126	f
├Me	34	124	Meer	Met	Meere
├Op┤	1	119	Op
├Vo	25	119	Voorders	Voorsz	Voors
├cu	24	118	cust	cusle	custcleeden
├mu	39	117	mueren	musquettiers	musquetteryen
├Sp	31	117	Spaenschen	Spaens	Spaengiaert
├ol	24	117	oliphant	oliphanten	oliphants-tanden
├25┤	1	117	25
├40┤	1	117	40
├Ti	27	113	Tico	Ticou	Tidorees
├as	16	113	assisteeren	assistentie	assistent
├Al	43	113	Alchin	Alchinse	Alitsgaders
├ap	22	113	apprehenlie	apparent	approbeerden
├Bo	54	112	Bontemps	Boven	Boleloa
├9┤	1	111	9
├ki	16	109	kinderen	kiesen	kiste
├lu	23	108	lust	luyen	luysteren
├ze	27	107	zee	zeylei	zeehavens
├wy┤	1	106	wy
├Hi	33	106	Hittoe	Hittoelamma	Hittoese
├Pr	19	105	Priaman	Priainan	Priuce
├fa	51	105	faveur	facyl	facetwerck
├Do	29	105	Doulet	Dodringen	Doch
├ys	5	104	ysere	yser	yseren
├Wi	29	102	Wichtmans	Willemsz	Willem
├Ad	12	101	Adriaen	Adviseert	Ady
├ü┤	1	99	ü
├th	39	98	thoUen	thayl	throon
├Di	33	98	Dirck	Dit	Dienselven
├Ce	17	97	Ceram-Laut	Ceram	Ceylon
├No	27	97	Noffica	NousateUo	Noula
├nu┤	1	94	nu
├ft┤	1	91	ft
├Br	32	90	Braham	Bredannus	Bredam
├14┤	1	89	14
├16┤	1	89	16
├18┤	1	87	18
├d*	39	86	d*eylanden	d*onse	d*Ed
├Ar	32	85	Arabische	Arrackie	Arnemuyden
├tu	9	84	tusschen	tusschenloopende	tusschenspreecken
├13┤	1	83	13
├30	16	83	300	3064	304838.3
├12	40	80	1263	1211	1200
├Pi	27	80	Pieter	Pieler	Pietersz
├Mi	27	79	Minne	Missive	Minalaky
├17┤	1	79	17
├Va	19	78	Van	Vaderlandt	Vanden
├ye	19	78	yemant	yelwes	yets
├Cl	15	78	Cleen	Cleyn	Clady
├11┤	1	78	11
├Ki	27	75	Kissel	Kitsil	Kitjil
├el	26	74	elycke	elff	elck
├15	32	74	150	15401	1544
├Ve	26	74	Vertreckeu	Vermits	Vertrecken
├60┤	1	73	60
├Cr	22	73	Crayen	Crus	Crimbangh
├11	38	72	1125	112	1120
├.┤	1	71	.
├gh	5	71	ghy	ghylieden	ghyse
├50	12	71	500	50799	5000
├Gh	21	71	Ghoromandel	Gherrebon	Ghineese
├*t┤	1	70	*t
├16	29	70	1641	1640	1633
├er	32	69	erlangen	erkennen	erkentelycke
├Fr	21	69	Franse	Fransman	Frederick
├(s	13	66	(synen	(spoelende	(synde
├On	17	66	Ondertusschen	Ontfanger	Ondercoopman
├24┤	1	66	24
├Bi	22	66	Binlocna	Bidia	Bima
├22┤	1	65	22
├28┤	1	64	28
├Au	12	64	Augusto	Augusly	Augusty
├Or	22	63	Orangkaya	Orangkays	Orangcaya
├80┤	1	63	80
├Ro	25	63	Roomse	Rollepat	Romacay
├ju	10	62	juweelen	juyst	juwelen
├D'┤	1	62	D'
├21┤	1	62	21
├Ap	1	62	April
├uw	5	62	uwe	uwen	uwc
├40	12	61	400	40120	4000
├/┤	1	61	/
├Fi	10	61	Firando	Firandos	Fisend
├:┤	1	59	:
├Oc	7	59	October	Oclober	Ocknea
├Fe	10	59	Feby	February	Ferrero
├13	36	57	13:2	133	13054:8:2
├Sy	9	57	Syne	Symon	Syn
├26┤	1	56	26
├U.	4	56	U.E	U.Ed	U.Ë
├zu	15	55	zulcx	zullen	zuytzyde
├Le	28	55	Leecq	Leeck	Leeuwen
├19┤	1	55	19
├Re	23	55	Revengie	Reden	Reynsbnrg
├ce	10	54	cento	cesseren	cent
├Ie┤	1	54	Ie
├av	14	54	avantguarde	avonts	avont
├As	21	54	Assahoudy	Assahoudj	Assahoudise
├u┤	1	54	u
├14	28	52	1400	144	14466.5.8
├im	23	51	immers	impositien	imbarqueren
├60	8	51	600	6000	6008
├Vl	8	51	Vlieth	Vliet	Vlielh
├Vi	21	51	Visiapoursen	Visiapourder	Visiapoufder
├Ee	13	50	Eerst	Een	Eerstelyck
├Tr	26	50	Trigo	Trompenit	Trimelevaes
├v^	31	49	v^reder	v^elken	v^as
├fy	6	49	fyn	fyne	fynen
├au	10	49	audiëntie	authóriteyt	aulhoriteyt
├Sc	21	48	Schagen	Schouten	Schotsman
├Ol	17	48	Oltens	Oldenburgh	Oliphant
├Th	16	47	Thomas	Thindramata	Thome
├Op	10	46	Oppercoopman	Opperhooft	Oppercoopmans
├fi	22	45	fieren	firmalie	firmans
├em	30	45	emle	embuscade	emstelyck
├17	30	45	174	172	17930
├29┤	1	44	29
├pu	18	44	purpre	punct	punt
├fr	21	44	fregat	frequenterende	fruyten
├Ou	22	44	Ourien	Oulat	Oudjou
├70┤	1	43	70
├18	24	43	18273.8.6	188	180
├23┤	1	42	23
├M┤	1	42	M
├'T┤	1	41	'T
├27┤	1	41	27
├Ac	14	40	Achter	Accoley	Acfy
├Ag	12	40	Aginare	Agra	Aguada
├25	21	39	252627	254	250
├(v	8	38	(vande	(volgen	(vermits
├it	4	38	item	itterative	itererende
├Ru	10	38	Ruttem	Ruttems	Ruanelle
├—┤	1	38	—
├t┤	1	37	t
├sn	14	37	snyt	snoode	snuysteringh
├Tw	4	37	Twee	Twist	Twisl
├In┤	1	37	In
├^┤	1	37	^
├ie	9	37	ieyten	iets	ieugenen
├St	13	36	Stephanus	Straat	Sterck
├ef	7	36	effect	effecten	effecte
├Pu	13	36	Punte	Punto	Putalao
├ka	19	35	kant	kans	kat
├wt┤	1	35	wt
├r┤	1	35	r
├(a	13	34	(als	(alsschoon	(aldaer
├(o	13	34	(ofte	(op	(onder
├19	23	34	19*^0	195	19272
├Va┤	1	34	Va
├g'	23	34	g'armeert	g'arriveert	g'intituleert
├Du	17	34	Duytsche	Durramayo	Duyff
├/*┤	1	33	/*
├vn	22	33	vnmden	vnlden	vnert
├«┤	1	33	«
├ab	17	33	abuyselyck	abondantie	absent
├Hs	12	32	Hselve	Hsyn	Hscheurbuyck
├24	29	32	245	24967	243
├at	22	31	attenteren	attrapperen	attenderen
├aj	5	31	ajuyn	ajuin	ajiiin
├ul	5	30	ullimo	ultimo	ulyeden
├fe	20	30	feyt	feylen	feytelyckbeyt
├Hu	13	30	Huytterlyck	Hurt	Huytsetten
├Lu	9	29	Lucht	Luytv^cq	Luconio
├ai	14	29	aiïairen	aireede	aiïschielen
├i┤	1	29	i
├Uy	8	29	Uythoeck	Uyt	Uyttrecht
├80	9	29	800	8088.4	8000
├Bl	14	28	Bleven	Bliejttongh	Blacassar
├fu	15	28	furieus	furieusêr	fugityf
├45┤	1	28	45
├Ze	6	28	Zeeusche	Zeelant	Zeehaen
├Ci	16	27	Cionincx	Cillebhaer	Ciborj
├ci	16	27	civilen	cierlycke	cieraet
├sm	17	27	smaldeelt	smerten	smeltende
├Fo	11	26	Forcenburgh	Force	Formosa
├•┤	1	26	•
├(g	5	26	(gelyck	(gelost	(geene
├Ot	2	26	Ottens	Otter
├Oo	10	26	Oock	Oost-lndise	Oostcappel
├Ri	12	26	Ringj	Richart	Riviere
├Eu	12	26	Europa	Europise	Europianen
├Ph	10	26	Phillips	Philips	Philippo
├Ae	7	25	Aen	Aengaende	Aende
├35┤	1	25	35
├Ni	8	25	Nicolaes	Nilegale	Nicko
├oi	10	24	oirsaecke	oiaer	oirsake
├Gi	15	24	Gillis	Gilole	Gilles
├TR	2	24	TRANSLAET	TRANSLAËT
├Je	8	24	Jegens	Jeronimusz	Jeremias
├P┤	1	24	P
├Sn	5	24	Snouck	Snaren	Snccadana
├d^	19	23	d^wh	d^Ed	d^onderstaeDde
├^^	12	23	^^i	^^^^^	^^^
├28	17	23	280	28086	28617.11.8
├Ry	6	23	Rysviryck	Ryp	Rysselse
├90┤	1	22	90
├l)	21	22	l)eseth	l)eter	l)emerckende
├Bu	7	22	Buyren	Bueren	Buys
├ag	6	22	aguelhout	aguilhout	agaet
├36┤	1	22	36
├h┤	1	22	h
├'┤	1	21	'
├Er	4	21	Eredam	Erangh	Erang
├26	15	21	26661272	2673	264
├eo	7	21	eode	eoopman	eoopluyden
├21	14	21	21060	213	219
├Ul	5	21	Uliassers	Ultimo	Uliasse
├Cb	12	21	Cbineese	Cbinanna	Cbeylon
├70	6	21	700	70882.1.15	7000
├ev	4	20	even	evenwel	evidenten
├Wo	11	20	Wotton	Wonderaer	Wottongh
├Om	6	20	Omme	Oma	Omon
├af┤	1	20	af
├(w	12	19	(wie	(waeronder	(waer
├wr	15	19	wrenschte	wrel	wreesen
├22	14	19	22000	228	226
├Ck	9	19	Cknnp	Ck)ninck	Ck)mp
├34	13	19	340	34474	342
├Iq	2	19	Iquan	Iquans
├(n	7	18	(nae	(niet	(naer
├Ka	8	18	Kaertekoe	Kackyaly	Kaèrtekoe
├23	14	18	235	23748	2300
├A┤	1	18	A
├Gu	9	18	Gulde	Guaro	Gul
├Sw	4	18	Swager	Swaen	Swart
├Ex	2	18	Expeditie	Expediiie
├27	16	17	27j	27a	2730
├47	13	17	4772^4	472	47864
├Hg	15	17	Hganische	Hgunt	Hgaljot
├(h	9	17	(hun	(hoewel	(hebbende
├ko	14	17	konnen	kopQ	koy
├MI	2	17	MISSIVE	MICHIELO
├34┤	1	17	34
├36	13	17	36977	36034	36372
├38┤	1	17	38
├oy	3	16	oyt	oyeryallen	oytden
├zo	6	16	zout	zoo	zond
├Wy	5	16	Wyders	Wydenes	Wyt
├43	15	16	436	437102	431974
├yv	2	16	yver	yverich
├35	12	16	355	351	3568
├Ic	3	16	Ick	Ichona	Ichoua
├Hw	6	16	Hwelck	Hwerck	Hwaeter
├ob	10	16	obligatie	obstakel	obstakulen
├IS┤	1	16	IS
├wt	16	16	wtgerust	wteynde	wtgebreyt
├Dr	4	15	Draerk	Draeck	Drie
├is	5	15	isser	ist	isoo
├75┤	1	15	75
├Zu	7	15	Zuratta	Zula	Zutphen
├42┤	1	15	42
├42	12	15	4240	428	420
├%┤	1	15	%
├37┤	1	15	37
├cb	6	15	cbits	cbaloupen	cbampan
├m┤	1	15	m
├29	9	15	2900	290	2905306
├Nu	9	15	Nundicipaty	Nundicipatj	Nuits
├(m	10	14	(met	(maeckende	(meest
├Eg	1	14	Egmont
├iV	4	14	iVj	iVi	iVa
├Uw	3	14	Uwelck	Uwen	Uwe
├48┤	1	14	48
├41┤	1	14	41
├45	11	14	459	45800	4500
├th┤	1	14	th
├Aa	2	14	Aan	Aaron
├eb	5	14	ebde	ebbenhout	ebbenbout
├(f┤	1	14	(f
├32	11	13	321	3244	327
├vu	8	13	vuylesieckte	vullen	vuyligheden
├oc	8	13	occasie	oculaire	och
├ff	4	13	ffi	ffearriveert	ffisuyvere
├rh	3	13	rheede	rhede	rhinocheroshoorns
├67	12	13	6702:15	67962.15.6	67262
├Im	4	13	Iman	Imven	Imam
├za	7	13	zal	zaK	zael
├(u	4	13	(uytgesondert	(uyt	(uytwysende
├V┤	1	13	V
├*┤	1	13	*
├39┤	1	13	39
├ed	7	13	edelman	edelluyden	edelen
├zi	7	12	zich	zielen	zijn
├(b	7	12	(by	(bestaende	(buyten
├(t	5	12	(tot	(ten	(te
├*s	4	12	*sConincx	*sComp	*smaents
├N┤	1	12	N
├Hv	8	12	Hvrundelyck	Hverbaelde	Hverstercken
├sp┤	1	12	sp
├87┤	1	12	87
├43┤	1	12	43
├Vi┤	1	12	Vi
├55	7	12	55000	551677:18	558
├46┤	1	12	46
├K┤	1	12	K
├37	11	12	3700	370	375
├61┤	1	12	61
├ui	8	12	uit	uialroosen	uiogen
├31	9	12	3178	316	310
├ph	8	12	phee	phy	phaya
├Uw┤	1	12	Uw
├FR	5	12	FRATER	FRANCISCO	FREES
├vd	10	11	vdn	vdlde	vdsselingh
├zy┤	1	11	zy
├74┤	1	11	74
├85	7	11	8598	8500	8516.17
├62	8	11	620	6240	6202
├31┤	1	11	31
├Ts	7	11	Tsjobbo	Tsiaja	Tsuischunad
├47┤	1	11	47
├57┤	1	11	57
├58┤	1	11	58
├Vr	8	11	Vries	Vraccura	Vriesse
├6o	1	11	6oa
├C!	6	11	C!oninck	C!ompo8tel	C!hristen
├90	4	11	900	9060	90800
├38	9	11	3800	386	3870
├41	11	11	416	4194	4176:5:3
├es	5	11	estime	estimatie	esen
├py	9	11	pypen	pylen	pynen
├ts	10	11	tsamen	tsz	tsia
├Wt┤	1	11	Wt
├ie┤	1	10	ie
├Tu	8	10	Turckse	Tuan	Turcksen
├ei	7	10	eiide	eick	eijde
├Ën	5	10	Ëngelschen	Ëngelsen	Ëngelse
├44	8	10	440	441	447
├l^	8	10	l^adviseren	l^st	l^t
├Gl	5	10	Glaesz	Gleyn	Gleen
├Is	9	10	Isoff	Ismayl	Ismaeyl
├Om┤	1	10	Om
├54┤	1	10	54
├51┤	1	10	51
├ym	5	10	ymant	ymandt	ymandl
├52┤	1	10	52
├l┤	1	10	l
├Iw	8	10	Iwveugemelte	Iwyffel	Iwaelff
├Yi	3	10	Yinck	Yisiapour	Yicerey
├[s	1	10	[sic
├pi┤	1	10	pi
├gl	8	9	glorieusen	glinsterende	glinsteren
├Pl	3	9	Planter	PlittiwaDJ	Plas
├Ov	4	9	Over	Overschie	Oversten
├Ü.	3	9	Ü.E	Ü.Ed	Ü.Etl
├'l┤	1	9	'l
├od	3	9	odTens	odieuser	odieus
├(i	5	9	(insonderheyt	(immers	(in
├eq	5	9	equipiagie	equipagie	equiperen
├Hc	6	9	Hcasteel	Hcenlo	Hcanael
├52	8	9	52294	5249652	5295
├Es	4	9	Esperance	Espcrance	Esperanca
├44┤	1	9	44
├Ë┤	1	9	Ë
├ua	5	9	uaer	uae	uaeste
├Ih	8	8	Ihollen	Iholsvryheyt	Ihoorn
├V4┤	1	8	V4
├/'	8	8	/'64145	/'944.9	/'1741
├ii	6	8	iiyt	iioch	iienden
├Vj┤	1	8	Vj
├51	8	8	5168	5173613	5152
├eu	2	8	eusten	eude
├Ëd┤	1	8	Ëd
├vc	8	8	vcrstaen	vcreeringe	vcrmaert
├..	2	8	....	...
├By┤	1	8	By
├B┤	1	8	B
├*t	8	8	*tsware	*tbyten	*tbos
├na┤	1	8	na
├Fa	6	8	Fakiry	Faichima	Farimaya
├üy	5	8	üyt	üytgewrocht	üytterlyck
├It	3	8	Item	Itrachl	Itam
├(*	2	8	(*).	(*)
├('	2	8	(')	('t
├IS	4	8	ISO	ISVs	IShondertpicoljaerlycx
├33┤	1	8	33
├Oy	4	8	Oyas	Oya	Oyed
├^^┤	1	8	^^
├57	7	8	57795	57522	576
├54	8	8	5457	54492	548
├tb	6	8	tbuynen	tbreeckers	tbeecoppen
├32┤	1	8	32
├62┤	1	8	62
├dV	6	8	dVelcke	dVoors	dVespondiers
├Wy┤	1	8	Wy
├56┤	1	8	56
├Zo	3	8	Zon	Zoisade	Zoom
├65┤	1	8	65
├Av	3	8	Aveiras	Ava	Avasen
├Ed	6	8	Edenbnrch	Edelen	Edele
├82┤	1	8	82
├75	7	7	75648	757	75550
├(z	2	7	(zynde	(zyude
├cn	5	7	cniyt	cnoopen	cnopen
├^e	7	7	^esamentlycken	^emelten	^ende
├ya	3	7	yan	yaer	yaderlant
├aa	6	7	aanbrengende	aan	aangeslagen
├l'	6	7	l'cedeeren	l'seyl	l'/a
├46	6	7	4600	469	4630
├tl	2	7	tlyck	tlieyt
├(e	6	7	(extreme	(excepto	(een
├55┤	1	7	55
├Xu	3	7	Xulla	XuUa	Xula
├ep	2	7	epde	epdelyck
├du┤	1	7	du
├iu	7	7	iusgelyckx	iuhoude	iugeladen
├(^	4	7	(^onincx	(^gereyst	(^^^^
├49┤	1	7	49
├/"┤	1	7	/"
├Yo	5	7	Yoorburgh	Yoors	Yougende
├IV┤	1	7	IV
├D*	6	7	D*0DS6	D*Engelsen	D*inwoonders
├1^	5	7	1^4	1^/4	1^2
├/*	7	7	/*6132.7	/*4773	/*11104.18.1
├Hf	2	7	Hfluytschip	Hfort
├58	6	7	58600	5850:5:1	581
├39	7	7	39842	3917	399000
├56	5	7	561	5600	562
├>┤	1	7	>
├79┤	1	7	79
├94	6	7	942	9460	9452
├SO┤	1	7	SO
├yg	1	7	ygelyck
├kl	3	7	kleyne	kleynen	kleeden
├DE┤	1	7	DE
├DO	3	7	DON	DOMINGO	DOM
├j┤	1	7	j
├CA	6	7	CAROS	CAPITEYN	CAMY
├*s┤	1	7	*s
├48	3	7	480	489	481
├Gn	7	7	Gnoflamanire	Gnoffirgnaros	GnofiBca
├(t┤	1	7	(t
├Py	2	7	Pyacha	PyachaenDodingo
├kr	5	6	krack	krygen	kreken
├t*	5	6	t*zynen	t*achterheyt	t*samen
├(l	6	6	(lopende	(leffens	(lager
├rf┤	1	6	rf
├[?	2	6	[?]	[?J
├^/	2	6	^/g	^/^
├UE┤	1	6	UE
├Ir	6	6	Irivole	Irouwloose	Irecken
├(G	4	6	(Goninck	(God	(Gode
├BR	5	6	BRIEFF	BRIEF	BRETON
├bc	6	6	bctaemt	bcsich	bcwaert
├'I	5	6	'Iwelck	'Iselve	'Ivertreck
├ea	6	6	eaickooven	ean	eanachoda
├io	5	6	iooninge	iot	ioncken
├w^	6	6	w^ert	w^dra	w^s
├76┤	1	6	76
├^d	2	6	^de	^daerinne
├I┤	1	6	I
├nu	6	6	nutticheyt	nun	nuswack
├'S┤	1	6	'S
├Il	6	6	Ille	Ilartogenboscli	Ilendrick
├33	5	6	3350	33084	338
├'/	4	6	'/s	'/a	'/j
├(e┤	1	6	(e
├77	6	6	7756	77i	77041
├*l┤	1	6	*l
├81┤	1	6	81
├88	5	6	8820.1	8886	881
├69	6	6	69900	696	690
├-┤	1	6	-
├W┤	1	6	W
├El	4	6	Eliaen	Elserac	Elj
├Oe	5	6	Oen	Oeniemedonne	Oeyn
├MA	5	6	MARCUS	MASSADJ	MASCARENHAS
├89	6	6	894465:11	89K2	8907
├dT	4	6	dTortugesen	dTi	dTalliacaise
├Z┤	1	6	Z
├92┤	1	6	92
├gd	6	6	gd)rant	gdegenlheyt	gdiaelt
├k┤	1	6	k
├5^	4	6	5^2	5^0	5^4
├\┤	1	6	\
├za┤	1	6	za
├Iv	1	6	Ivie
├n^	5	5	n^yoor	n^aer	n^t
├mé	2	5	mét	mél
├95┤	1	5	95
├ll	5	5	llberaelsten	ll«"daeraen	lliuynen
├BO┤	1	5	BO
├vv	5	5	vveltigh	vvrasch	vvackeren
├'d	5	5	'den	'daer	'die
├®┤	1	5	®
├yl┤	1	5	yl
├dw	3	5	dwingen	dwers	dwanck
├eé	5	5	eénige	eéh	eéniger
├us	4	5	usurperen	usantie	usance
├gé	5	5	gérestitueert	gébreck	gémelte
├Ko	4	5	Kouinck	Koukercken	Konnerechittj
├g^	4	5	g^effectueert	g^isponeert	g^en
├Ab	3	5	Abraham	Abdul	AbduI
├e┤	1	5	e
├Cu	5	5	Cuylenbm'gh	Cumpane	Cube
├95	5	5	955	951527:13	951
├vs	4	5	vsraermede	vsrat	vsrierd
├^o	5	5	^overvallen	^oor	^oo
├Mu	3	5	Munda	Muller	Mustasschan
├aU	2	5	aUe	aUaer
├T┤	1	5	T
├bb	4	5	bbaeren	bbar	bbaer
├74	5	5	74954	745	748
├77┤	1	5	77
├68	5	5	68098.4	682	680
├Hy┤	1	5	Hy
├82	3	5	821	820	822
├Sy┤	1	5	Sy
├Eb	3	5	Ebrehem	Ebrebem	Ebrebems
